console-1  | 192.168.4.29 - - [02/Mar/2026:15:22:25 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:22:45 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:22:46 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:22:48 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:27:19 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:27:38 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:38:25 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:38:28 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:38:33 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:38:36 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:38:37 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:38:38 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:38:54 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:39:01 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:39:02 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:39:25 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:39:32 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:39:37 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:39:42 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:39:55 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:40:02 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:40:22 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:40:26 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:40:33 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:43:15 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:43:24 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:15:45:04 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:05:42 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:05:46 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:06:02 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:07:35 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:07:35 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:08:02 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:08:04 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:08:09 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:08:16 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:24:18 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:24:22 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:24:22 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:24:35 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:26:12 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:26:15 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:27:27 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:32:08 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:32:15 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:32:37 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:32:47 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:36:38 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:37:11 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:37:39 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:37:45 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:38:08 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:38:46 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:40:10 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:40:12 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:40:16 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:40:30 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:40:32 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:40:34 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:43:08 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:43:13 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:43:51 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:44:00 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:45:10 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:45:11 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:45:16 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
